GivenName,Surname,City,StateFull,CountryFull,EmailAddress,Username,TelephoneNumber,Birthday,Occupation,Company
Marcelle,Silvas,"Trois Rivieres",Quebec,Canada,MarcelleASilvas@jourrapide.com,Thathers,819-383-7824,3/11/1962,"Benefits director","Future Plan"
Dustin,Hickman,Toronto,Ontario,Canada,DustinLHickman@superrito.com,Maiduc,416-397-8815,3/23/1972,"Media planner","Freedom Map"
Margaret,Valdovinos,Buckhorn,Ontario,Canada,MargaretMValdovinos@rhyta.com,Whispectilly,705-657-6859,3/31/1978,"Machine tender","Friendly Interior Design"
Nettie,Gentry,Toronto,Ontario,Canada,NettieJGentry@cuvox.de,Thadfice1940,416-351-1248,4/30/1940,"Coil winder",Packer
Patty,Batts,Montreal,Quebec,Canada,PattyEBatts@fleckens.hu,Wastat1998,514-755-9924,4/11/1998,"Instructional coach",Silo
Jean,Hill,"Owen Sound",Ontario,Canada,JeanSHill@gustr.com,Theirl,519-373-6773,11/7/2002,"Tax assessor","County Market"
Floyd,Cowan,Beiseker,Alberta,Canada,FloydBCowan@jourrapide.com,Feromer,403-947-2534,12/24/1939,"Medical translator","National Shirt Shop"
Gerardo,Henry,Forestville,Quebec,Canada,GerardoMHenry@rhyta.com,Hisseepow,418-586-2254,4/5/1991,"Payroll assistant",Builderama
Emma,Hogan,"Fox Valley",Saskatchewan,Canada,EmmaJHogan@einrot.com,Possing,306-666-2129,5/7/1986,"Train dispatcher",Weingarten's
Althea,Whited,Toronto,Ontario,Canada,AltheaMWhited@gustr.com,Theimence,416-786-8402,1/23/1961,"Behavioral disorder counselor","Audio Visions"
Tim,Wink,Sudbury,Ontario,Canada,TimMWink@rhyta.com,Satterep,705-698-5243,5/27/1946,"Telephone station installer","Mr. D's IGA"
Lester,Kelly,Toronto,Ontario,Canada,LesterAKelly@armyspy.com,Wheres,416-677-0512,4/16/1974,"Legal assistant","Solution Realty"
Jon,Odom,Midland,Ontario,Canada,JonVOdom@einrot.com,Thinthey,705-529-7866,11/4/1999,"Job printer","Whitlocks Auto Supply"
Michael,Roach,Calgary,Alberta,Canada,MichaelLRoach@jourrapide.com,Quoquallse,403-230-1801,8/29/2002,"Plumbing inspector",Oshman's
Traci,Taylor,Toronto,Ontario,Canada,TraciLTaylor@dayrep.com,Capplithe,416-334-7901,12/20/1953,"Animal breeder","Bombay Company"
Daryl,Cunningham,Toronto,Ontario,Canada,DarylJCunningham@jourrapide.com,Bagith1999,416-924-0490,1/17/1999,"Private banker","Hughes Markets"
Frances,Velazquez,Chatham,Ontario,Canada,FrancesSVelazquez@armyspy.com,Maying1941,519-358-8976,12/4/1941,"Local controller","AM/PM Camp"
Dorothy,Layman,Montreal,Quebec,Canada,DorothyMLayman@rhyta.com,Loverrien,514-781-6688,4/7/1972,"Cardiopulmonary technologist","Multi-Systems Merchant Services"
Lawrence,Valentine,Montreal,Quebec,Canada,LawrenceRValentine@gustr.com,Whistamed1965,514-868-1044,12/6/1965,Paleomagnetist,"Magik Gray"
Jimmy,Giles,"South Pickering",Ontario,Canada,JimmyAGiles@jourrapide.com,Wongeste,905-831-4566,11/20/1966,"Administrative office assistant","Expo Superstore"
Robert,Frias,"New Westminster","British Columbia",Canada,RobertSFrias@jourrapide.com,Ledits1968,604-202-5984,11/16/1968,"Telephone installer","First Choice Garden Maintenance"
Janette,Crawford,Nobleton,Ontario,Canada,JanetteWCrawford@gustr.com,Letly1964,905-859-5455,5/5/1964,Zookeeper,"Newmark & Lewis"
Linda,Darst,Ferintosh,Alberta,Canada,LindaJDarst@gustr.com,Herhumbrod,780-877-0447,8/16/1996,"Railroad conductor","Rustler Steak House"
Michelle,Ramirez,Toronto,Ontario,Canada,MichellePRamirez@jourrapide.com,Fortioneaks,416-518-1912,5/1/1962,"Typesetting machine tender",Thalhimers
Cheri,Roberts,Calgary,Alberta,Canada,CheriWRoberts@armyspy.com,Wellourgerd,403-281-8981,10/30/1969,"Photographic equipment repairer","Paper Cutter"
James,May,"Port Coquitlam","British Columbia",Canada,JamesLMay@fleckens.hu,Priatter,604-944-8294,5/10/1959,"Electronic equipment repairer","Childs Restaurants"
Mary,Oyler,Alvinston,Ontario,Canada,MaryEOyler@rhyta.com,Muty1994,519-898-3167,1/28/1994,"Administrative office assistant","Lionel Playworld"
Eldon,Morris,Montreal,Quebec,Canada,EldonAMorris@dayrep.com,Ster1937,514-998-1353,5/9/1937,"Fitness worker","The Sample"
Patricia,Haynes,Hudson,Ontario,Canada,PatriciaEHaynes@gustr.com,Essm1967,807-582-6344,8/24/1967,"Staffing manager","Chess King"
Ronnie,Boots,Cranbrook,"British Columbia",Canada,RonnieABoots@fleckens.hu,Faroppich,250-421-5767,11/17/1980,"Bench jeweler",Datacorp
Johnnie,Gomez,Winnipeg,Manitoba,Canada,JohnnieTGomez@teleworm.us,Nolibleyou,204-296-2729,6/2/1962,Mathematician,"Smitty's Marketplace"
Francis,Buck,Montreal,Quebec,Canada,FrancisABuck@rhyta.com,Moded1946,514-971-5501,2/2/1946,"Precision instrument and equipment repairer","Bennett Brothers"
Susan,Giambrone,Windsor,Ontario,Canada,SusanRGiambrone@teleworm.us,Stimers,519-973-6524,8/16/1946,"Literary interpreter","Total Yard Maintenance"
Melody,Perez,Chatham,Ontario,Canada,MelodyOPerez@einrot.com,Thereed,519-401-5909,3/22/1956,"Electronic home entertainment equipment repairer",Musicland
Sonia,Berry,Toronto,Ontario,Canada,SoniaJBerry@cuvox.de,Whosecter1999,647-222-6622,11/16/1999,"Composing machine tender","University Stereo"
Mary,Swihart,Vermilion,Alberta,Canada,MaryBSwihart@einrot.com,Capaincess,780-787-2641,2/13/1953,"Technical communications specialist","Total Serve"
Brenda,Gilmore,Toronto,Ontario,Canada,BrendaJGilmore@gustr.com,Youldrals,647-272-5295,3/25/1998,"Chairperson of the board","Techo Solutions"
Michelle,Martin,"Lower Post","British Columbia",Canada,MichelleBMartin@fleckens.hu,Afteper,250-779-0409,10/11/1940,"International economist","Larry's Markets"
Harry,Elia,"St Honore",Quebec,Canada,HarryRElia@teleworm.us,Sicks1975,418-485-0716,2/15/1975,"Process piping drafter",Hechinger
Roy,Cook,Quebec,Quebec,Canada,RoyKCook@teleworm.us,Yoring,418-520-5866,7/20/1973,"First mate","Yardbirds Home Center"
Robert,Kober,"St Camille De Bellechasse",Quebec,Canada,RobertHKober@fleckens.hu,Lihaboulady,418-595-4629,10/26/1994,"School bus driver","Standard Sales"
Daniel,Lupo,"Smooth Rock Falls",Ontario,Canada,DanielJLupo@gustr.com,Ziery1944,705-338-6390,1/7/1944,"Training manager","Blockbuster Music"
Josiah,Evans,Daysland,Alberta,Canada,JosiahMEvans@jourrapide.com,Sookes,780-374-4868,6/3/1969,"Apartment leasing agent","Pro Star Garden Management"
Natasha,Dupre,Toronto,Ontario,Canada,NatashaTDupre@teleworm.us,Waseat,416-506-5333,10/4/1965,Sportscaster,"Exact Realty"
Caleb,Lombardi,Sarnia,Ontario,Canada,CalebDLombardi@dayrep.com,Pegreare1988,519-333-2959,5/13/1988,Steamfitter,"Intelli Wealth Group"
Barbara,Grimm,Abbotsford,"British Columbia",Canada,BarbaraJGrimm@rhyta.com,Oloyed,604-768-1015,6/29/1992,"Nutrition director","Bountiful Harvest Health Food Store"
Georgia,Schaible,Montreal,Quebec,Canada,GeorgiaASchaible@armyspy.com,Pravall,514-229-0744,10/11/1970,Programmer,Anderson-Little
Logan,Maldonado,Oakville,Ontario,Canada,LoganMMaldonado@gustr.com,Dets1974,905-599-1096,1/1/1974,"Cardiographic technician","Landskip Yard Service"
Ivan,Dials,Windsor,Ontario,Canada,IvanJDials@rhyta.com,Failly,519-890-6162,6/20/1987,"Pesticide handler","Liberty Wealth Planners"
Jessica,Marks,"Grise Fiord",Nunavut,Canada,JessicaGMarks@fleckens.hu,Grese1968,867-980-8862,6/4/1968,"Construction mechanic",Maxi-Tech
Carlos,Stockman,Toronto,Ontario,Canada,CarlosRStockman@einrot.com,Womustand53,416-229-2181,6/12/1953,"Junior high school teacher","Pantry Food Stores"
Madeline,McCray,"New Westminster","British Columbia",Canada,MadelineRMcCray@jourrapide.com,Buttle99,604-528-3784,2/12/1999,"Sawing machine operator","Chief Auto Parts"
Dorothy,Greene,Norwich,Ontario,Canada,DorothyDGreene@cuvox.de,Faturis56,519-863-5800,2/13/1956,"Termite control technician","House of Gas"
Mary,Collins,Hull,Quebec,Canada,MaryBCollins@gustr.com,Altylets1970,819-923-8759,4/23/1970,"EEO officer","Tech Hifi"
Earl,Pena,Winnipeg,Manitoba,Canada,EarlDPena@jourrapide.com,Xand1945,204-952-5484,9/8/1945,Soldier,"Eagle Hardware & Garden"
Lloyd,Vanmeter,Barrie,Ontario,Canada,LloydGVanmeter@superrito.com,Scand1951,705-717-2384,11/12/1951,"Personnel development specialist","Leonard Krower & Sons"
James,Martin,Toronto,Ontario,Canada,JamesKMartin@gustr.com,Yountions,416-979-1163,8/28/1970,"Transit and railroad police",LaBelle's
Virginia,Davenport,Kitchener,Ontario,Canada,VirginiaRDavenport@armyspy.com,Shars1976,519-746-0102,7/25/1976,"Medical assistant","Camelot Music"
Maurice,Foster,Kitchener,Ontario,Canada,MauriceTFoster@cuvox.de,Opetchas,519-500-9858,9/25/1958,"Marking and identification printing machine operator","Red Baron Electronics"
Bertha,Anderson,Edmonton,Alberta,Canada,BerthaRAnderson@rhyta.com,Leoratte1993,780-461-9119,12/5/1993,"Sound engineering technician","Laughner's Cafeteria"
Maria,Baird,Guelph,Ontario,Canada,MariaJBaird@armyspy.com,Eace1975,519-993-1718,3/3/1975,"Nuclear engineer","A.J. August Fashion Wear"
Alice,Elliott,Montreal,Quebec,Canada,AliceRElliott@einrot.com,Shom1951,514-433-4684,10/31/1951,"Multiple machine tool tender","Red Fox Tavern"
Shannon,Harmon,"Whitefish Falls",Ontario,Canada,ShannonSHarmon@gustr.com,Pask1973,705-285-5649,4/11/1973,"Admitting interviewer","Record Bar"
Tiffany,Tincher,Toronto,Ontario,Canada,TiffanyDTincher@superrito.com,Roonstank,416-695-7853,5/9/1957,"Management information systems director","Corinthian Designs"
Crystal,Miller,"Red Deer",Alberta,Canada,CrystalJMiller@gustr.com,Lanold,403-302-2806,10/4/1975,"Ordnance handling expert","Electric Avenue"
Brian,Rivero,Ottawa,Ontario,Canada,BrianMRivero@einrot.com,Boureack54,613-782-8394,11/3/1954,"Design consultant","The Wiz"
Kelvin,Copeland,"Prince George","British Columbia",Canada,KelvinJCopeland@cuvox.de,Whournany1941,250-617-8612,6/18/1941,Journalist,"Monk House Sales"
Jennifer,Robertson,Cooksville,Ontario,Canada,JenniferCRobertson@teleworm.us,Rivertand,905-897-5237,3/20/1945,"Landscape contractor","The Polka Dot Bear Tavern"
Charlotte,Burton,Victoria,"British Columbia",Canada,CharlotteVBurton@rhyta.com,Whart1963,250-385-2768,8/15/1963,"Re-recording mixer","David Weis"
Daniel,Wilkes,Luskville,Quebec,Canada,DanielAWilkes@cuvox.de,Lood2000,819-455-5108,9/18/2000,"Garbage collector","Champion Auto"
Bobby,Milburn,Guelph,Ontario,Canada,BobbyEMilburn@gustr.com,Vire1977,519-994-0918,3/14/1977,"Instructional aide","Asian Plan"
Rosemary,Roche,Chicoutimi,Quebec,Canada,RosemaryTRoche@teleworm.us,Yarstions,418-817-7843,10/16/2000,"Material dispatching","Brown Derby"
Patty,Wise,"Qualicum Beach","British Columbia",Canada,PattyJWise@cuvox.de,Gremeaunk,250-333-7797,6/7/1946,Bucker,Peaches
Ruby,Wilson,"St George",Ontario,Canada,RubyJWilson@superrito.com,Froo1946,519-448-9882,3/25/1946,"School psychologist",Kleinhans
Concetta,Dixon,Cardinal,Ontario,Canada,ConcettaMDixon@cuvox.de,Stionedus,613-657-9012,9/19/1997,Sheriff,"Museum Company"
Freddie,Estrada,"Havre St Pierre",Quebec,Canada,FreddieJEstrada@cuvox.de,Foring,418-532-4935,8/27/1940,"CT technologist","Kenny Rogers Roasters"
Patrick,Turner,Lavaltrie,Quebec,Canada,PatrickTTurner@rhyta.com,Rituder,450-541-2897,2/10/1952,"Data entry clerk","Millenia Life"
Joseph,Wilkins,"Trois Rivieres",Quebec,Canada,JosephVWilkins@armyspy.com,Shrothem47,819-383-1217,3/4/1947,"Flight attendant","Susie's Casuals"
William,Ross,Bourget,Ontario,Canada,WilliamMRoss@gustr.com,Therteplied,613-487-7349,10/24/1956,"Holistic nurse","Specialty Restaurant Group"
Sean,Gill,Toronto,Ontario,Canada,SeanBGill@gustr.com,Drusectur,416-708-2633,5/8/1976,"Personnel associate",AdventureSports!
Kelvin,Ashton,"Ste Madeleine",Quebec,Canada,KelvinDAshton@jourrapide.com,Culd1975,450-702-6497,9/27/1975,"Carpet, floor, and tile installer","J. K. Gill Company"
Benjamin,Bittle,Montreal,Quebec,Canada,BenjaminJBittle@superrito.com,Scouned,514-577-6084,4/7/1972,"Grounds maintenance worker","Larry's Markets"
Ronald,Martin,"Owen Sound",Ontario,Canada,RonaldGMartin@rhyta.com,Handond,519-270-0826,10/11/1982,"Registered nurse anesthetist",MagnaSolution
Stanley,Bell,Vancouver,"British Columbia",Canada,StanleyCBell@jourrapide.com,Fropeasithey53,778-999-3780,5/21/1953,"Lift truck operator",Briazz
Bernard,Holt,"New Dundee",Ontario,Canada,BernardBHolt@jourrapide.com,Witainceaft,519-696-5259,12/4/1964,"Mixing and blending machine tender","Lawn N' Order Garden Care"
Ella,McLaughlin,Montreal,Quebec,Canada,EllaAMcLaughlin@rhyta.com,Disted,514-821-8514,10/24/1973,"Condominium association manager","Father & Son"
Janet,Sartain,Hespeler,Ontario,Canada,JanetKSartain@jourrapide.com,Wating1999,519-241-2728,6/21/1999,"Clerical assistant","Cardinal Stores"
Jessica,Fletcher,Calgary,Alberta,Canada,JessicaJFletcher@fleckens.hu,Migen1962,403-614-1469,12/4/1962,Scaler,"John F. Lawhon"
David,Helms,"Fort Erie",Ontario,Canada,DavidLHelms@einrot.com,Fining,905-991-4756,2/14/1954,Producer,"Magna Architectural Design"
Anna,Baldwin,Conquest,Saskatchewan,Canada,AnnaHBaldwin@armyspy.com,Posucheen,306-856-5403,10/21/1970,"Maxillofacial surgeon","Huffman and Boyle"
Katie,Gannon,Elgin,Ontario,Canada,KatieDGannon@gustr.com,Threatin,613-359-4861,12/14/1990,"Financial controller","Big Star Markets"
Jennifer,Sykes,Kenora,Ontario,Canada,JenniferMSykes@dayrep.com,Orearrythe63,807-468-7629,5/28/1963,"Lease operator","Our Own Hardware"
Eveline,Witkowski,"Red Deer",Alberta,Canada,EvelineAWitkowski@fleckens.hu,Prieved1980,403-318-0427,10/13/1980,"Scraper operator","Piece Goods Fabric"
Joyce,Cordell,Alban,Ontario,Canada,JoyceMCordell@jourrapide.com,Lieft1977,705-857-7760,10/11/1977,"Blood bank technologist","Al's Auto Parts"
Lois,Gibson,Marlboro,Alberta,Canada,LoisJGibson@einrot.com,Shemas,780-397-1745,6/17/1956,"Extruding and drawing machine operators","Pace Membership Warehouse"
Hattie,Gibson,Montreal,Quebec,Canada,HattieWGibson@einrot.com,Estion2003,514-208-5401,1/1/2003,"Process pipeline drafter","Happy Bear Investment"
Manuela,Buchanan,London,Ontario,Canada,ManuelaBBuchanan@dayrep.com,Alch2000,519-318-9519,1/15/2000,"Publication assistant","Joseph Magnin"
Charles,Gilbert,"Coral Harbour",Nunavut,Canada,CharlesSGilbert@gustr.com,Affeard1942,867-925-8328,3/3/1942,"Community dietitian","Golden's Distributors"
Alexis,Read,Killam,Alberta,Canada,AlexisMRead@dayrep.com,Chicelf,780-385-8908,2/27/1959,"Rooms manager","Gart Sports"
Brian,Vizcarra,London,Ontario,Canada,BrianMVizcarra@teleworm.us,Citter,519-439-7367,1/25/1995,"Compensation and benefits technician","Kessel Food Market"
James,Glover,Brantford,Ontario,Canada,JamesMGlover@armyspy.com,Thadvan,519-861-0459,6/4/1995,"Home health nurse","Garden Guru"
Addie,Patel,Vancouver,"British Columbia",Canada,AddieGPatel@dayrep.com,Thatee,778-227-1543,7/31/1945,"Dot etcher",Finast
Ronald,Binkley,Toronto,Ontario,Canada,RonaldCBinkley@jourrapide.com,Caminarthe,647-291-8035,11/1/1938,"Hospital attendant",Huyler's
Jessica,Lashley,Ignace,Ontario,Canada,JessicaRLashley@armyspy.com,Manded,807-934-1570,11/10/1976,"Placement officer",Gallenkamp
Teresa,Robertson,Calgary,Alberta,Canada,TeresaDRobertson@cuvox.de,Haring,403-547-5391,1/29/2001,"Electrical power line installer","Baltimore Markets"
Bob,Jeffers,Toronto,Ontario,Canada,BobAJeffers@armyspy.com,Withents,416-979-4534,5/16/1942,"Assistant cook","Newmark & Lewis"
Jacob,Walsh,Maple,Ontario,Canada,JacobPWalsh@gustr.com,Publy1959,905-832-2606,12/8/1959,"HIV/AIDS nurse","Eden Lawn Service"
Allyson,Adams,Longueuil,Quebec,Canada,AllysonRAdams@einrot.com,Abidide,450-647-7756,12/25/2000,"Industrial production manager","Buttrey Food & Drug"
Tamala,Dickinson,"Long Sault",Ontario,Canada,TamalaMDickinson@gustr.com,Sealithed,613-534-3251,3/31/1976,"Treatment plant and system operator",Sherman's
Vincent,Romero,Tecumseh,Ontario,Canada,VincentJRomero@jourrapide.com,Licare69,519-735-2276,8/17/1969,Fumigator,"Electronic Geek"
Sean,Molina,Cranbrook,"British Columbia",Canada,SeanSMolina@armyspy.com,Fartarly,250-421-3326,5/13/1968,"Employee development manager","Bloom Brothers Furniture"
Elizabeth,Rolon,Burnaby,"British Columbia",Canada,ElizabethKRolon@superrito.com,Witherrom1945,604-240-1203,1/10/1945,Judge,"Frame Scene"
Mario,Wynn,Burnaby,"British Columbia",Canada,MarioPWynn@fleckens.hu,Shollue,778-554-6647,6/17/1975,"Construction engineer",LaBelle's
Mary,Cheatham,Coldwater,Ontario,Canada,MaryKCheatham@einrot.com,Frout1957,705-686-0546,5/2/1957,"Administrative specialist","National Record Mart"
Long,Gilbert,Kasabonika,Ontario,Canada,LongJGilbert@einrot.com,Weept1989,807-535-4418,4/5/1989,"Data entry keyer","Success Is Yours"
Gilbert,Rodden,"Grande Prairie",Alberta,Canada,GilbertSRodden@gustr.com,Afterand,780-532-4412,5/30/1966,"Fund manager","10,000 Auto Parts"
Angela,Kirkland,Chicoutimi,Quebec,Canada,AngelaJKirkland@teleworm.us,Tinfied,418-557-5009,1/9/1971,"Industrial equipment technician","Wise Appraisals"
Eugene,Wilkerson,Creemore,Ontario,Canada,EugeneGWilkerson@armyspy.com,Therch,705-466-4213,3/11/1959,Statistician,Vitagee
Eileen,Morgan,Charlottetown,"Prince Edward Island",Canada,EileenSMorgan@einrot.com,Egreane,902-892-9812,12/9/1958,"Arc cutter","Al's Auto Parts"
Ronald,Smith,Provost,Alberta,Canada,RonaldDSmith@superrito.com,Acloned,780-753-0683,12/16/1991,"Registered dietitian","G.I. Joe's"
Eddie,Odell,Montreal,Quebec,Canada,EddieEOdell@einrot.com,Whimor,514-912-5725,9/26/1985,"Cardiovascular technologist","Dynatronics Accessories"
Marie,Rush,Montreal,Quebec,Canada,MarieMRush@teleworm.us,Watme1995,514-516-9855,11/7/1995,"Account clerk","Stop and Shop"
Wesley,Ecklund,"St Sylvere",Quebec,Canada,WesleyLEcklund@armyspy.com,Athim1948,819-285-4768,11/24/1948,"Staffing coordinator","Irving's Sporting Goods"
Theodore,Reynolds,"New Westminster","British Columbia",Canada,TheodoreDReynolds@armyspy.com,Pacts1987,778-386-0707,4/1/1987,Translator,"Olson's Market"
Mary,Peterson,"Red Deer",Alberta,Canada,MaryEPeterson@fleckens.hu,Appencet1937,403-227-6659,8/15/1937,"Medical social worker",Gamble-Skogmo
Julianna,Uribe,Newmarket,Ontario,Canada,JuliannaJUribe@armyspy.com,Orearrythe,905-853-1357,7/9/1944,Geophysicist,"MVP Sports"
Loretta,Behling,Elsa,Yukon,Canada,LorettaJBehling@teleworm.us,Toonyal,867-995-5756,11/7/1971,"Segmental paver","Pro-Care Garden Maintenance"
Joel,Leblanc,"Peace River",Alberta,Canada,JoelYLeblanc@superrito.com,Feck1968,780-618-1639,12/25/1968,"Network administrator","You Are Successful"
Jean,Purcell,"St Brieux",Saskatchewan,Canada,JeanAPurcell@dayrep.com,Trapprid,306-275-5194,12/8/1976,"Certified respiratory therapist",Lechmere
Sharron,Diggs,Quebec,Quebec,Canada,SharronJDiggs@armyspy.com,Fairs1939,418-655-2238,2/14/1939,"Computer software engineer","Muscle Factory"
Micheal,Andrews,Contrecoeur,Quebec,Canada,MichealAAndrews@fleckens.hu,Boble1998,450-392-3933,6/15/1998,"Automotive mechanic","The Goose and Duck"
Frank,Murray,Toronto,Ontario,Canada,FrankMMurray@teleworm.us,Ancamand,647-402-2532,2/24/1954,"Industrial relations manager",ManPower
Theodore,Fox,Richmond,"British Columbia",Canada,TheodoreBFox@einrot.com,Bacen2000,604-272-6282,6/15/2000,"Mail clerk",Prestiga-Biz
Leon,McKinney,Empress,Alberta,Canada,LeonEMcKinney@dayrep.com,Spattent,403-565-4862,8/5/1950,"Dredge operator","Integra Wealth"
David,Martin,Victoria,"British Columbia",Canada,DavidMMartin@rhyta.com,Perainchis,250-893-5317,4/25/1950,"Real estate rental agent","The White Swan"
Ismael,Steinfeldt,Tecumseh,Ontario,Canada,IsmaelMSteinfeldt@dayrep.com,Dards1989,519-739-9018,1/17/1989,"Mail sorter","Britches of Georgetown"
Robert,Hildebrand,Hauterive,Quebec,Canada,RobertRHildebrand@cuvox.de,Hishisent,418-920-8242,4/17/2003,"Electronic newsgathering operator","Desert Garden Help"
Gail,Flowers,York,"Prince Edward Island",Canada,GailDFlowers@superrito.com,Rhisfor57,902-629-2008,4/10/1957,"Cooking instructor",Netobill
Larry,Vargas,London,Ontario,Canada,LarryJVargas@jourrapide.com,Spenjoyere02,519-686-1344,8/8/2002,"Clerk typist","A Plus Lawn Care"
Adam,Dukes,Toronto,Ontario,Canada,AdamMDukes@einrot.com,Seseatity,416-322-0264,12/11/1939,Bodyguard,"Irving's Sporting Goods"
Jeanne,Castellanos,Hull,Quebec,Canada,JeanneBCastellanos@einrot.com,Mathe1989,819-770-9234,10/26/1989,"Health engineer","CSK Auto"
Melinda,Wooten,Norwood,Ontario,Canada,MelindaEWooten@rhyta.com,Eastche,705-639-1195,5/22/2001,"College counselor","Gamma Grays"
Dorothy,Hoffman,Unionville,Ontario,Canada,DorothyEHoffman@teleworm.us,Hielturry,905-944-5628,9/9/1972,"Merchandise displayer",Anthony's
Catherine,Rodriquez,Montreal,Quebec,Canada,CatherineGRodriquez@superrito.com,Thavou,514-295-8953,11/17/1977,"Health physicist","Blockbuster Music"
Robert,McNeill,Ottawa,Ontario,Canada,RobertCMcNeill@armyspy.com,Siondonsen,613-798-8161,4/15/1944,"Outside order clerk","Idea Infinity"
Michael,Moore,Vancouver,"British Columbia",Canada,MichaelEMoore@jourrapide.com,Trigive,604-837-7255,5/14/1938,"Graphic artist","Vibrant Man"
Kevin,Reeves,Lethbridge,Alberta,Canada,KevinCReeves@superrito.com,Brarms1983,403-330-1578,11/10/1983,"Media outreach specialist","Big D Supermarkets"
Jaime,McDonald,Toronto,Ontario,Canada,JaimeJMcDonald@dayrep.com,Mandred,416-582-4223,6/5/1989,"Respiratory nurse","Bountiful Harvest Health Food Store"
Edgar,Johnson,Toronto,Ontario,Canada,EdgarOJohnson@jourrapide.com,Lifess,416-968-0976,11/1/1997,"Probation officer","Plan Smart"
Georgia,Dehaven,Halifax,"Nova Scotia",Canada,GeorgiaNDehaven@dayrep.com,Calluser,902-412-5813,8/16/1952,Endodontist,"Wheels Discount Auto"
Elizabeth,Tucker,Belleville,Ontario,Canada,ElizabethRTucker@teleworm.us,Colesed,613-848-2069,10/22/1995,"Record clerk","Borders Books"
Marsha,Reed,Sudbury,Ontario,Canada,MarshaRReed@superrito.com,Dinge1950,705-677-4284,6/3/1950,"Personnel clerk","Mission Realty"
John,Willis,Calgary,Alberta,Canada,JohnRWillis@jourrapide.com,Upood1953,403-998-3145,4/21/1953,"Water transportation pilot",d.e.m.o.
Ralph,Kelly,Sibbald,Alberta,Canada,RalphVKelly@cuvox.de,Herief,403-676-6797,3/1/1989,Poet,"Cloth World"
Jackie,Franklin,"Fort St John","British Columbia",Canada,JackieDFranklin@gustr.com,Beher1977,250-262-1395,7/15/1977,"Housekeeping cleaner","Audio Aid"
Joseph,Bowen,Peterborough,Ontario,Canada,JosephCBowen@einrot.com,Alkinew,705-930-8934,10/3/1969,"Environmental engineer","Federated Group"
Danny,Walling,Brampton,Ontario,Canada,DannyAWalling@cuvox.de,Moll1938,905-495-0740,3/21/1938,Dishwasher,"Dream Home Improvements"
Elsa,Daniels,Montreal,Quebec,Canada,ElsaRDaniels@rhyta.com,Saterring,514-240-5577,2/21/1989,"Labor contractor",Sherman's
George,Owen,Calgary,Alberta,Canada,GeorgeHOwen@jourrapide.com,Corties2000,403-226-4580,10/30/2000,"Chemical equipment operator","Mission You"
Mary,Hayashi,Milo,Alberta,Canada,MaryJHayashi@gustr.com,Sover1963,403-599-6310,8/27/1963,"Copy editor",Kent's
Haley,Jester,Gibsons,"British Columbia",Canada,HaleyMJester@cuvox.de,Hisone,604-887-7266,12/5/1991,Webmaster,Konsili
Marcia,Young,Toronto,Ontario,Canada,MarciaWYoung@cuvox.de,Ughtmed,416-827-9600,3/4/1952,"Lodging manager","Monk Real Estate Service"
Jeffrey,Hill,"Sault Ste Marie",Ontario,Canada,JeffreyKHill@armyspy.com,Nust1939,705-945-7299,3/22/1939,"Residence leasing agent","Joseph Magnin"
Christopher,Ralston,Stirling,Ontario,Canada,ChristopherSRalston@armyspy.com,Sabst1966,613-395-3526,9/17/1966,"Interior decorator","Kessel Food Market"
William,Robison,Carievale,Saskatchewan,Canada,WilliamJRobison@armyspy.com,Intand,306-928-3015,12/24/1938,"Able seaman","A.J. August Fashion Wear"
Thomas,Lopez,"Black Pool","British Columbia",Canada,ThomasKLopez@jourrapide.com,Appot1998,250-587-1575,2/11/1998,"Library binding worker","Infinite Wealth"
Michele,Sexton,Calgary,Alberta,Canada,MicheleESexton@gustr.com,Prut2002,403-730-3574,4/12/2002,"Telephone service representative","On Cue"
David,Lopez,Toronto,Ontario,Canada,DavidRLopez@superrito.com,Mese1954,416-670-4110,8/18/1954,Baker,"Saturday Matinee"
Charles,Ragsdale,Toronto,Ontario,Canada,CharlesRRagsdale@jourrapide.com,Puld1997,647-887-5038,5/31/1997,"Conference planner","Farmer Jack"
Betty,Vazquez,Edmonton,Alberta,Canada,BettyTVazquez@gustr.com,Boyeto38,780-479-5802,12/3/1938,"Public health dietitian","Al's Auto Parts"
Derick,Simonds,Montreal,Quebec,Canada,DerickPSimonds@superrito.com,Sumate1960,514-779-0855,8/1/1960,Pharmacist,Erlebacher's
Gladys,Conrad,Montreal,Quebec,Canada,GladysJConrad@dayrep.com,Losoutypery,514-774-4899,4/29/1990,"Health inspector",Tianguis
Frankie,Davis,Sorel,Quebec,Canada,FrankieTDavis@dayrep.com,Whime1964,450-881-7082,6/26/1964,"Multiple machine tool operator",Merrymaking
Mary,Jones,"Elk Point",Alberta,Canada,MaryKJones@fleckens.hu,Whour1938,780-724-7199,9/2/1938,"Computer clerk","Eagle Food Centers"
Kaitlyn,McGowan,Toronto,Ontario,Canada,KaitlynGMcGowan@fleckens.hu,Suchaked,416-460-5171,9/4/2001,"Personnel clerk","Holly Tree Inn"
Charles,Brown,Latulipe,Quebec,Canada,CharlesDBrown@jourrapide.com,Agantiched,819-747-5319,10/4/1976,"Management scientist","The Lawn Guru"
Robin,Gomez,"Stoney Creek",Ontario,Canada,RobinEGomez@rhyta.com,Samelver,905-662-7428,5/23/1950,Chef,Morville
